Name	Spectrum	Select	MDV	Std
Glc	m0	1	0.6249355040113727	1
Glc	m1	1	0.06776334587887523	1
Glc	m2	1	0.07561230643004002	1
Glc	m3	1	0.0746907108728515	1
Glc	m4	1	0.0172555676887821	1
Glc	m5	1	0.006820465319631114	1
Glc	m6	1	0.1329220997984475	1
G6P	m0	1	0.0	1
G6P	m1	1	0.0	1
G6P	m2	1	0.0	1
G6P	m3	1	0.442491265502596	1
G6P	m4	1	0.0	1
G6P	m5	1	0.5575087344974039	1
G6P	m6	1	0.0	1
Pyr	m0	1	0.997991204550498	1
Pyr	m1	1	0.0	1
Pyr	m2	1	0.0	1
Pyr	m3	1	0.002008795449502012	1
Cit	m0	1	0.8945418231365441	1
Cit	m1	1	0.02362901801073998	1
Cit	m2	1	0.06965197637383415	1
Cit	m3	1	0.01217718247888178	1
Cit	m4	1	0.0	1
Cit	m5	1	0.0	1
Cit	m6	1	0.0	1
Suc	m0	1	0.7935458422249585	1
Suc	m1	1	0.1296540682870103	1
Suc	m2	1	0.06259211276060823	1
Suc	m3	1	0.01420797672742289	1
Suc	m4	1	0.0	1
Fum	m0	1	0.970889911247924	1
Fum	m1	1	0.02911008875207608	1
Fum	m2	1	0.0	1
Fum	m3	1	0.0	1
Fum	m4	1	0.0	1
Mal	m0	1	0.8249080718596533	1
Mal	m1	1	0.1132249291772316	1
Mal	m2	1	0.05139306004665448	1
Mal	m3	1	0.009683393364342544	1
Mal	m4	1	0.0007905455521180202	1
Lac	m0	1	0.8210259456607525	1
Lac	m1	1	0.03669922961669753	1
Lac	m2	1	0.03179619822448304	1
Lac	m3	1	0.1104786264980669	1
Glu	m0	1	0.8235308257481658	1
Glu	m1	1	0.09597255278788622	1
Glu	m2	1	0.06645808021922689	1
Glu	m3	1	0.01403854124472105	1
Glu	m4	1	0.0	1
Glu	m5	1	0.0	1
Asp	m0	1	0.9656445230563099	1
Asp	m1	1	0.03117717551724495	1
Asp	m2	1	0.003178301426445216	1
Asp	m3	1	0.0	1
Asp	m4	1	0.0	1
Ser	m0	1	0.9385755491825509	1
Ser	m1	1	0.0	1
Ser	m2	1	0.0	1
Ser	m3	1	0.06142445081744915	1
F6P	m0	1	0.0	1
F6P	m1	1	0.0	1
F6P	m2	1	0.0	1
F6P	m3	1	0.442491265502596	1
F6P	m4	1	0.0	1
F6P	m5	1	0.5575087344974039	1
F6P	m6	1	0.0	1
