Name	Spectrum	Select	MDV	Std
Glc	m0	1	0.957182361	1
Glc	m1	1	0.003867254	1
Glc	m2	1	0.006910527	1
Glc	m3	1	0.031984775	1
Glc	m4	1	0	1
Glc	m5	1	0	1
Glc	m6	1	5.50818E-05	1
Pyr	m0	1	0.960438173	1
Pyr	m1	1	0	1
Pyr	m2	1	0.008155463	1
Pyr	m3	1	0.031406364	1
Lac	m0	1	0.967340758	1
Lac	m1	1	0.006855242	1
Lac	m2	1	0.005033843	1
Lac	m3	1	0.020770157	1
Suc	m0	1	0.905805872	1
Suc	m1	1	0.053662827	1
Suc	m2	1	0.034320482	1
Suc	m3	1	0.006108284	1
Suc	m4	1	0.000102536	1
Asp	m0	1	0.837836415	1
Asp	m1	1	0.097002176	1
Asp	m2	1	0.053134317	1
Asp	m3	1	0.011881979	1
Asp	m4	1	0.000145112	1
Mal	m0	1	0.815797105	1
Mal	m1	1	0.108661984	1
Mal	m2	1	0.06369873	1
Mal	m3	1	0.011227179	1
Mal	m4	1	0.000615001	1
Glu	m0	1	0.797172729	1
Glu	m1	1	0.091767343	1
Glu	m2	1	0.089129677	1
Glu	m3	1	0.020780552	1
Glu	m4	1	0.001061337	1
Glu	m5	1	8.83622E-05	1
Gln	m0	1	0.894597573	1
Gln	m1	1	0.04608861	1
Gln	m2	1	0.054236535	1
Gln	m3	1	0.005020311	1
Gln	m4	1	0	1
Gln	m5	1	5.69715E-05	1
Cit	m0	1	0.931958891	1
Cit	m1	1	0.006992239	1
Cit	m2	1	0.03755485	1
Cit	m3	1	0.005562967	1
Cit	m4	1	0.000831419	1
Cit	m5	1	0.003279336	1
Cit	m6	1	0.013820298	1
