Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,21348.198729817363,13915.508765456008,14995.578137647772,16138.493436973858,17196.024405947635,18001.924895133452,13811.083546438462,14989.229201467964,15956.116577339819,17172.619875771274,17686.606718790536
Thres,,,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),199.10201803941746,199.9649913229082,195.16941028159397,199.89445002175788,199.99525184943846,199.87386873803678,199.9999990271532,195.17154409550432,199.91350918907816,199.99854830985097,199.99951051890804,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),74.59476164067729,189.17011629066872,137.55366547909813,157.59263964414464,167.96101081414196,173.3017227198983,189.19463534799348,137.5841298671403,157.8349341237265,167.96734435380836,174.39212532903878,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),115.94232964159492,198.69801789953664,199.93845103105824,198.94020764506223,199.3876275473289,199.8974963150674,198.70746638447378,199.93827156069784,198.93485977953006,199.36480509410595,199.9237272367371,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),48.82614792836891,12.983239716896737,1.3185447688603773,3.7669289094010097,6.218000563644537,5.156964865065184,12.958015563631548,1.3428875436241938,3.7255824849571653,6.228462392965454,5.481746199420449,fitting,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),48.41174650437446,190.12796436763404,165.137281900927,166.43460553819574,169.07043967283454,169.4498596320734,190.0817972545981,165.15935063813725,166.43558971360665,169.07496820564938,169.88463495499875,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),70.80530415995058,198.9142369067793,198.7226812254592,188.8281631937718,197.74357068779557,198.29876983512432,198.89368180655552,198.72050290950634,188.81766232091087,197.73496974793883,198.28627229065327,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),2.027844958669462,1.4979166663008892,185.09883589970946,182.77852965733933,0.036169731672636374,0.05565641020501211,1.4046529533882326,185.09688697436206,182.8478312612182,0.006533089865394359,0.10256987926214123,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),18.256759248421545,0.0006418875792462867,199.91845580674294,199.00744394709142,12.764210728131614,10.537583578137996,0.0002304980255618451,199.918816783537,199.01831122650577,12.767342403830536,10.51981273755145,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),2.713776772886419,145.4845040589815,0.10759683442584134,0.02380963961151039,158.59711560275883,18.03841372285771,145.32796325573457,0.12807554247447683,0.0027515944868738984,158.56709798577003,18.197173706152313,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),31.859243545543816,152.40268728454382,34.11292295227761,29.169276412268864,198.62154475506586,58.4958193977825,152.38495211006787,34.114662911924256,29.196377642828953,198.61917924302054,58.45107161407425,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),74.27982647920929,18.51229463498832,2.266533143939398,2.2723845273737098,144.7818795537197,27.075390327083568,18.493648160823827,2.257617005628717,2.374611191857362,144.75937041317067,26.714296917366006,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),117.03050776140712,29.064717605536156,42.418748253900624,45.0230658095715,198.7854674604519,70.16914067022218,29.07574778419057,42.42041710643625,45.018381729260746,198.7680455754781,70.16415774651243,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),19.056662855349643,77.92298831141439,67.66404140840284,70.62405021875493,59.95094236483606,72.66654300810139,77.77444207294629,67.66954264697813,70.95542167279622,59.90611198847296,72.43081461850008,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),40.83130615437046,22.550496021182827,22.99976295192863,33.4992138596095,34.809348324397526,53.108846882489864,22.52079386927497,22.98779808696338,33.17709014071693,34.78412552280407,52.60215595888917,free,1.0,1.0,0.0,200.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),91.25859545518514,43.100187812302494,80.43280843731534,96.96216632983338,56.174398670391625,64.35935482518055,42.987342728482865,80.41854598894868,96.49314599217325,56.15613798998887,63.70090385661696,free,1.0,1.0,0.0,200.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),183.93419042757023,37.08768379230161,198.43378299261911,199.31688337748025,199.0299981759871,197.48372701052398,36.88527659946527,198.42459750896688,199.07183934716966,198.95327688346032,197.281768719053,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),144.84087179904338,0.06744362057727281,169.0910691766885,160.68588970618413,157.75191932533718,161.10129657717098,0.09128440887133563,169.0906400312536,160.68923938944957,157.7362540635779,161.0732363557307,free,1.0,1.0,0.0,200.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),34.031542520220974,33.192010091196735,21.562478250129356,33.56921756299026,36.895302413222716,30.79810048512432,33.00492127355344,21.55734284913972,33.3527414274272,36.85287283692413,30.748543324139312,free,1.0,1.0,0.0,200.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),90.05340806624022,198.9503792914819,199.74264702464544,199.15339004980044,199.42313899549464,199.75075050301527,198.74879061611844,199.73765347006727,198.9492418911776,199.3812624998411,199.68678562194614,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
