Name	Spectrum	Select	MDV	Std
Glc	m0	1	0.5902821558381899	1
Glc	m1	1	0.07139699174817422	1
Glc	m2	1	0.08039257250924778	1
Glc	m3	1	0.08243543686400116	1
Glc	m4	1	0.02258837734499055	1
Glc	m5	1	0.01070611111415521	1
Glc	m6	1	0.1421983545812412	1
G6P	m0	1	1.0	1
G6P	m1	1	0.0	1
G6P	m2	1	0.0	1
G6P	m3	1	0.0	1
G6P	m4	1	0.0	1
G6P	m5	1	0.0	1
G6P	m6	1	0.0	1
Pyr	m0	1	1.0	1
Pyr	m1	1	0.0	1
Pyr	m2	1	0.0	1
Pyr	m3	1	0.0	1
Cit	m0	1	0.7068777522859538	1
Cit	m1	1	0.09229704103963524	1
Cit	m2	1	0.1912106378307024	1
Cit	m3	1	0.001997265537287428	1
Cit	m4	1	0.00514579769400653	1
Cit	m5	1	0.0	1
Cit	m6	1	0.002471505612414624	1
Suc	m0	1	0.8473440838538934	1
Suc	m1	1	0.08988553481247566	1
Suc	m2	1	0.06219912915512233	1
Suc	m3	1	0.0005712521785086169	1
Suc	m4	1	0.0	1
Fum	m0	1	0.9877128591670568	1
Fum	m1	1	0.01228714083294325	1
Fum	m2	1	0.0	1
Fum	m3	1	0.0	1
Fum	m4	1	0.0	1
Mal	m0	1	0.832832975716665	1
Mal	m1	1	0.09904542057503701	1
Mal	m2	1	0.05713256774648857	1
Mal	m3	1	0.009792188348114642	1
Mal	m4	1	0.001196847613694819	1
Lac	m0	1	0.8455535857729238	1
Lac	m1	1	0.03297886115947357	1
Lac	m2	1	0.02877642264300329	1
Lac	m3	1	0.09269113042459924	1
Glu	m0	1	0.8370968866325972	1
Glu	m1	1	0.08869312366465772	1
Glu	m2	1	0.06590626690667974	1
Glu	m3	1	0.007751448058761296	1
Glu	m4	1	0.0005522747373040226	1
Glu	m5	1	0.0	1
Asp	m0	1	0.8898828647666996	1
Asp	m1	1	0.1018509647345686	1
Asp	m2	1	0.00605561397580729	1
Asp	m3	1	0.002210556522924503	1
Asp	m4	1	0.0	1
Ser	m0	1	1.0	1
Ser	m1	1	0.0	1
Ser	m2	1	0.0	1
Ser	m3	1	0.0	1
F6P	m0	1	1.0	1
F6P	m1	1	0.0	1
F6P	m2	1	0.0	1
F6P	m3	1	0.0	1
F6P	m4	1	0.0	1
F6P	m5	1	0.0	1
F6P	m6	1	0.0	1
